person_id,paper_id,text,acceptance
2110490847,033275ccc2c7c5c38592ae893da0b5923cf90717,Well-written and clearly presented.,Approved
2236429,033275ccc2c7c5c38592ae893da0b5923cf90717,Good insights and results.,Approved
2193901,033275ccc2c7c5c38592ae893da0b5923cf90717,Interesting but lacks novelty.,Denied
49061836,459cf4e6476d5e19f1bc422c162bcded54ca7f95,Well-written and clearly presented.,Approved
144568027,459cf4e6476d5e19f1bc422c162bcded54ca7f95,Good insights and results.,Approved
144668991,459cf4e6476d5e19f1bc422c162bcded54ca7f95,Good insights and results.,Approved
1798186,4340043a5a43f1863e080e3fc717f863ad21b51d,Well-written and clearly presented.,Approved
2109461904,4340043a5a43f1863e080e3fc717f863ad21b51d,Well-written and clearly presented.,Approved
2516234,4340043a5a43f1863e080e3fc717f863ad21b51d,The methodology is flawed.,Denied
1736546,1a85628dd645ea86b7c146613651fdb30bb32c1d,Good insights and results.,Approved
1746871,1a85628dd645ea86b7c146613651fdb30bb32c1d,Good insights and results.,Approved
2134146,1a85628dd645ea86b7c146613651fdb30bb32c1d,Interesting but lacks novelty.,Denied
1706223,5abf79226a8ffa2dcf33ca98bfc36c8bb01cc4fc,Excellent contribution to the field.,Approved
3019341,5abf79226a8ffa2dcf33ca98bfc36c8bb01cc4fc,Good insights and results.,Approved
2102129,5abf79226a8ffa2dcf33ca98bfc36c8bb01cc4fc,Excellent contribution to the field.,Approved
38736958,59078a26c42e8609244f1c3e01f05af74a3773bf,Excellent contribution to the field.,Approved
2835741,59078a26c42e8609244f1c3e01f05af74a3773bf,Good insights and results.,Approved
2460428,59078a26c42e8609244f1c3e01f05af74a3773bf,Good insights and results.,Approved
145986014,1cbbe1a129c0d1f53d8e16ca74238334372507dc,Well-written and clearly presented.,Approved
47010888,1cbbe1a129c0d1f53d8e16ca74238334372507dc,Well-written and clearly presented.,Approved
1821099,1cbbe1a129c0d1f53d8e16ca74238334372507dc,Well-written and clearly presented.,Approved
32535366,86e9b0585c8b866665de18b2744d69aefff3e16d,Good insights and results.,Approved
23605695,86e9b0585c8b866665de18b2744d69aefff3e16d,Good insights and results.,Approved
2102129,86e9b0585c8b866665de18b2744d69aefff3e16d,Good insights and results.,Approved
3470782,a20e707395132f750fa958ebc0ea629b23b57bfe,Excellent contribution to the field.,Approved
1681226,a20e707395132f750fa958ebc0ea629b23b57bfe,Well-written and clearly presented.,Approved
2064249638,a20e707395132f750fa958ebc0ea629b23b57bfe,Excellent contribution to the field.,Approved
1850588,d852660e15e82ae150dcde105639ba2c7d90f01f,Excellent contribution to the field.,Approved
1403809434,d852660e15e82ae150dcde105639ba2c7d90f01f,Well-written and clearly presented.,Approved
1699192,d852660e15e82ae150dcde105639ba2c7d90f01f,Good insights and results.,Approved
31380655,703d49a335799262e474ed8fe6044cd641a9e00a,Good insights and results.,Approved
48107154,703d49a335799262e474ed8fe6044cd641a9e00a,Good insights and results.,Approved
40895294,703d49a335799262e474ed8fe6044cd641a9e00a,Excellent contribution to the field.,Approved
