paper_title,score
"""Big data: The next frontier for innovation, competition, and productivity""",2.856420861116869
"""Business Intelligence and Analytics: From Big Data to Big Impact""",1.4876789340454935
"""Regular Queries on Graph Databases""",1.0424895587239584
"""Learning Path Queries on Graph Databases""",0.9612404689154856
"""Interactive Path Query Specification on Graph Databases""",0.9612404689154856
"""Foundations of Modern Query Languages for Graph Databases""",0.8999877161458334
"""Big Data Analytics""",0.8971956898264775
"""Data-intensive applications, challenges, techniques and technologies: A survey on Big Data""",0.8603831632653061
"""Beyond the hype: Big data concepts, methods, and analytics""",0.8228313775510205
"""A performance evaluation of open source graph databases""",0.8166510418700644
