person_id,paper_id
2110490847,033275ccc2c7c5c38592ae893da0b5923cf90717
2236429,033275ccc2c7c5c38592ae893da0b5923cf90717
2193901,033275ccc2c7c5c38592ae893da0b5923cf90717
49061836,459cf4e6476d5e19f1bc422c162bcded54ca7f95
144568027,459cf4e6476d5e19f1bc422c162bcded54ca7f95
144668991,459cf4e6476d5e19f1bc422c162bcded54ca7f95
1798186,4340043a5a43f1863e080e3fc717f863ad21b51d
2109461904,4340043a5a43f1863e080e3fc717f863ad21b51d
2516234,4340043a5a43f1863e080e3fc717f863ad21b51d
1736546,1a85628dd645ea86b7c146613651fdb30bb32c1d
1746871,1a85628dd645ea86b7c146613651fdb30bb32c1d
2134146,1a85628dd645ea86b7c146613651fdb30bb32c1d
1706223,5abf79226a8ffa2dcf33ca98bfc36c8bb01cc4fc
3019341,5abf79226a8ffa2dcf33ca98bfc36c8bb01cc4fc
2102129,5abf79226a8ffa2dcf33ca98bfc36c8bb01cc4fc
38736958,59078a26c42e8609244f1c3e01f05af74a3773bf
2835741,59078a26c42e8609244f1c3e01f05af74a3773bf
2460428,59078a26c42e8609244f1c3e01f05af74a3773bf
145986014,1cbbe1a129c0d1f53d8e16ca74238334372507dc
47010888,1cbbe1a129c0d1f53d8e16ca74238334372507dc
1821099,1cbbe1a129c0d1f53d8e16ca74238334372507dc
32535366,86e9b0585c8b866665de18b2744d69aefff3e16d
23605695,86e9b0585c8b866665de18b2744d69aefff3e16d
2102129,86e9b0585c8b866665de18b2744d69aefff3e16d
3470782,a20e707395132f750fa958ebc0ea629b23b57bfe
1681226,a20e707395132f750fa958ebc0ea629b23b57bfe
2064249638,a20e707395132f750fa958ebc0ea629b23b57bfe
1850588,d852660e15e82ae150dcde105639ba2c7d90f01f
1403809434,d852660e15e82ae150dcde105639ba2c7d90f01f
1699192,d852660e15e82ae150dcde105639ba2c7d90f01f
31380655,703d49a335799262e474ed8fe6044cd641a9e00a
48107154,703d49a335799262e474ed8fe6044cd641a9e00a
40895294,703d49a335799262e474ed8fe6044cd641a9e00a
151121638,2d95c27d4ed8cfb8379164888cd79c6b239250b4
48035814,2d95c27d4ed8cfb8379164888cd79c6b239250b4
2341999,2d95c27d4ed8cfb8379164888cd79c6b239250b4
34110040,93e6ba25e4c45c3f204a09b6a6b8b02bd3596091
2772109,93e6ba25e4c45c3f204a09b6a6b8b02bd3596091
2064473584,93e6ba25e4c45c3f204a09b6a6b8b02bd3596091
2080434643,06424dcd3be195738b653d2ee4358d9974f4cb30
1746173,06424dcd3be195738b653d2ee4358d9974f4cb30
2070105034,06424dcd3be195738b653d2ee4358d9974f4cb30
1897202,bcca5c7e9180c4890936343d79e812cb16cbefb6
32267146,bcca5c7e9180c4890936343d79e812cb16cbefb6
144641551,bcca5c7e9180c4890936343d79e812cb16cbefb6
2748632,0443c9a0fbb403d5e7d3593f5d286cb74ed0b490
145986014,0443c9a0fbb403d5e7d3593f5d286cb74ed0b490
145479025,0443c9a0fbb403d5e7d3593f5d286cb74ed0b490
52561170,c858ba9bce833896b49878a6793dbb382ed83c9e
2109590665,c858ba9bce833896b49878a6793dbb382ed83c9e
1740822681,c858ba9bce833896b49878a6793dbb382ed83c9e
2271992963,f3e765ca2b8c4191759b141d2e5c42215ed9090d
2057331457,f3e765ca2b8c4191759b141d2e5c42215ed9090d
1903798,f3e765ca2b8c4191759b141d2e5c42215ed9090d
1796394,689c7a86d973895a14feb984b8faa3d5581038ef
38736958,689c7a86d973895a14feb984b8faa3d5581038ef
103774486,689c7a86d973895a14feb984b8faa3d5581038ef
35003282,44ec06d911eed44ee99be61bd9ce964a824a2ed7
144773815,44ec06d911eed44ee99be61bd9ce964a824a2ed7
144750678,44ec06d911eed44ee99be61bd9ce964a824a2ed7
1746173,8afa626901e6b77b3936b8eb64df4a5a538444a0
2083295023,8afa626901e6b77b3936b8eb64df4a5a538444a0
2236429,8afa626901e6b77b3936b8eb64df4a5a538444a0
1716043,6ea38aacc779506909d425aa19114b92bb1854f8
1714025,6ea38aacc779506909d425aa19114b92bb1854f8
2082595527,6ea38aacc779506909d425aa19114b92bb1854f8
2112395404,59f1df2f60280eea79d195b9c561d52a77fb24de
1950081,59f1df2f60280eea79d195b9c561d52a77fb24de
1693933,59f1df2f60280eea79d195b9c561d52a77fb24de
1714025,1d0d84a1f4e8de75151d88bd152816f18109d032
34856697,1d0d84a1f4e8de75151d88bd152816f18109d032
21024202,1d0d84a1f4e8de75151d88bd152816f18109d032
2589314,6e87f544017f73670c44d9d0856340a289ff9e38
40895294,6e87f544017f73670c44d9d0856340a289ff9e38
2193901,6e87f544017f73670c44d9d0856340a289ff9e38
51229930,659d8b24e53e8adfbcb1f16b26ada2cb8afa2c85
2434366,659d8b24e53e8adfbcb1f16b26ada2cb8afa2c85
1897202,659d8b24e53e8adfbcb1f16b26ada2cb8afa2c85
2559032,b8e30590ac81875a7fc4f7cfd425bd5148a72f5c
3291006,b8e30590ac81875a7fc4f7cfd425bd5148a72f5c
145250139,b8e30590ac81875a7fc4f7cfd425bd5148a72f5c
72166011,c867c372ed78e27c53feaf788e74aa7506302bbe
31846192,c867c372ed78e27c53feaf788e74aa7506302bbe
1713172,c867c372ed78e27c53feaf788e74aa7506302bbe
144750678,d154d986c3a402c207c6c0e22093f2e1a878fe71
1409306700,d154d986c3a402c207c6c0e22093f2e1a878fe71
2606269,d154d986c3a402c207c6c0e22093f2e1a878fe71
35089024,2be77516f6233a9d3ebbf93b439c3658d955d2e5
50378124,2be77516f6233a9d3ebbf93b439c3658d955d2e5
