person_id,paper_id,text,acceptance
3059861,033275ccc2c7c5c38592ae893da0b5923cf90717,Well-written and clearly presented.,Approved
51017707,033275ccc2c7c5c38592ae893da0b5923cf90717,Excellent contribution to the field.,Approved
2269971203,033275ccc2c7c5c38592ae893da0b5923cf90717,Interesting but lacks novelty.,Denied
34580886,459cf4e6476d5e19f1bc422c162bcded54ca7f95,Excellent contribution to the field.,Approved
35043342,459cf4e6476d5e19f1bc422c162bcded54ca7f95,Excellent contribution to the field.,Approved
1821099,459cf4e6476d5e19f1bc422c162bcded54ca7f95,Good insights and results.,Approved
1702139,4340043a5a43f1863e080e3fc717f863ad21b51d,Good insights and results.,Approved
1696394,4340043a5a43f1863e080e3fc717f863ad21b51d,Well-written and clearly presented.,Approved
2285074747,4340043a5a43f1863e080e3fc717f863ad21b51d,Insufficient comparison to related work.,Denied
144302930,1a85628dd645ea86b7c146613651fdb30bb32c1d,Well-written and clearly presented.,Approved
145002767,1a85628dd645ea86b7c146613651fdb30bb32c1d,Good insights and results.,Approved
2314246,1a85628dd645ea86b7c146613651fdb30bb32c1d,Needs stronger experimental support.,Denied
1482559324,5abf79226a8ffa2dcf33ca98bfc36c8bb01cc4fc,Good insights and results.,Approved
153909377,5abf79226a8ffa2dcf33ca98bfc36c8bb01cc4fc,Excellent contribution to the field.,Approved
143842962,5abf79226a8ffa2dcf33ca98bfc36c8bb01cc4fc,Interesting but lacks novelty.,Denied
144186679,59078a26c42e8609244f1c3e01f05af74a3773bf,Well-written and clearly presented.,Approved
2589314,59078a26c42e8609244f1c3e01f05af74a3773bf,Good insights and results.,Approved
1389415257,59078a26c42e8609244f1c3e01f05af74a3773bf,Well-written and clearly presented.,Approved
2275848903,1cbbe1a129c0d1f53d8e16ca74238334372507dc,Well-written and clearly presented.,Approved
2478931,1cbbe1a129c0d1f53d8e16ca74238334372507dc,Excellent contribution to the field.,Approved
1684751,1cbbe1a129c0d1f53d8e16ca74238334372507dc,Interesting but lacks novelty.,Denied
40892737,86e9b0585c8b866665de18b2744d69aefff3e16d,Excellent contribution to the field.,Approved
9613825,86e9b0585c8b866665de18b2744d69aefff3e16d,Excellent contribution to the field.,Approved
50846470,86e9b0585c8b866665de18b2744d69aefff3e16d,Well-written and clearly presented.,Approved
50663909,a20e707395132f750fa958ebc0ea629b23b57bfe,Good insights and results.,Approved
2125673249,a20e707395132f750fa958ebc0ea629b23b57bfe,Excellent contribution to the field.,Approved
2590886,a20e707395132f750fa958ebc0ea629b23b57bfe,The methodology is flawed.,Denied
2198707,d852660e15e82ae150dcde105639ba2c7d90f01f,Good insights and results.,Approved
2873542,d852660e15e82ae150dcde105639ba2c7d90f01f,Excellent contribution to the field.,Approved
143930319,d852660e15e82ae150dcde105639ba2c7d90f01f,Well-written and clearly presented.,Approved
2141377585,703d49a335799262e474ed8fe6044cd641a9e00a,Excellent contribution to the field.,Approved
38152929,703d49a335799262e474ed8fe6044cd641a9e00a,Well-written and clearly presented.,Approved
4047075,703d49a335799262e474ed8fe6044cd641a9e00a,Interesting but lacks novelty.,Denied
10217996,2d95c27d4ed8cfb8379164888cd79c6b239250b4,Well-written and clearly presented.,Approved
2460428,2d95c27d4ed8cfb8379164888cd79c6b239250b4,Good insights and results.,Approved
2146248481,2d95c27d4ed8cfb8379164888cd79c6b239250b4,Good insights and results.,Approved
2685045,93e6ba25e4c45c3f204a09b6a6b8b02bd3596091,Excellent contribution to the field.,Approved
1897202,93e6ba25e4c45c3f204a09b6a6b8b02bd3596091,Excellent contribution to the field.,Approved
2141377585,93e6ba25e4c45c3f204a09b6a6b8b02bd3596091,Excellent contribution to the field.,Approved
2283098327,06424dcd3be195738b653d2ee4358d9974f4cb30,Good insights and results.,Approved
3009404,06424dcd3be195738b653d2ee4358d9974f4cb30,Excellent contribution to the field.,Approved
2371988,06424dcd3be195738b653d2ee4358d9974f4cb30,The methodology is flawed.,Denied
143906110,bcca5c7e9180c4890936343d79e812cb16cbefb6,Excellent contribution to the field.,Approved
2200758545,bcca5c7e9180c4890936343d79e812cb16cbefb6,Good insights and results.,Approved
2996242,bcca5c7e9180c4890936343d79e812cb16cbefb6,Insufficient comparison to related work.,Denied
3470782,0443c9a0fbb403d5e7d3593f5d286cb74ed0b490,Excellent contribution to the field.,Approved
1785886,0443c9a0fbb403d5e7d3593f5d286cb74ed0b490,Well-written and clearly presented.,Approved
1864942,0443c9a0fbb403d5e7d3593f5d286cb74ed0b490,Well-written and clearly presented.,Approved
50561597,c858ba9bce833896b49878a6793dbb382ed83c9e,Good insights and results.,Approved
2070105034,c858ba9bce833896b49878a6793dbb382ed83c9e,Good insights and results.,Approved
3308719,c858ba9bce833896b49878a6793dbb382ed83c9e,Needs stronger experimental support.,Denied
2327630,f3e765ca2b8c4191759b141d2e5c42215ed9090d,Excellent contribution to the field.,Approved
1826467,f3e765ca2b8c4191759b141d2e5c42215ed9090d,Excellent contribution to the field.,Approved
34533996,f3e765ca2b8c4191759b141d2e5c42215ed9090d,Interesting but lacks novelty.,Denied
143902767,689c7a86d973895a14feb984b8faa3d5581038ef,Excellent contribution to the field.,Approved
8349792,689c7a86d973895a14feb984b8faa3d5581038ef,Excellent contribution to the field.,Approved
2296802333,689c7a86d973895a14feb984b8faa3d5581038ef,Well-written and clearly presented.,Approved
2730618,44ec06d911eed44ee99be61bd9ce964a824a2ed7,Good insights and results.,Approved
21024202,44ec06d911eed44ee99be61bd9ce964a824a2ed7,Well-written and clearly presented.,Approved
100960057,44ec06d911eed44ee99be61bd9ce964a824a2ed7,Good insights and results.,Approved
1860924,8afa626901e6b77b3936b8eb64df4a5a538444a0,Good insights and results.,Approved
49247239,8afa626901e6b77b3936b8eb64df4a5a538444a0,Well-written and clearly presented.,Approved
49673304,8afa626901e6b77b3936b8eb64df4a5a538444a0,Needs stronger experimental support.,Denied
145219017,6ea38aacc779506909d425aa19114b92bb1854f8,Good insights and results.,Approved
1481047992,6ea38aacc779506909d425aa19114b92bb1854f8,Well-written and clearly presented.,Approved
2410119,6ea38aacc779506909d425aa19114b92bb1854f8,Excellent contribution to the field.,Approved
1792647,59f1df2f60280eea79d195b9c561d52a77fb24de,Well-written and clearly presented.,Approved
1400900759,59f1df2f60280eea79d195b9c561d52a77fb24de,Excellent contribution to the field.,Approved
1741232,59f1df2f60280eea79d195b9c561d52a77fb24de,Well-written and clearly presented.,Approved
